"","HH_ID","Time","Locationch1","Activitych1","Locationch2","Activitych2","Locationch3","Activitych3","Comment","Day"
"351","KEMH00011","evening","home","fetching firewood","home","fetching firewood",NA,NA,NA,"Saturday"
"352","KEMB00051","evening","home","playing and watching cartoons","home","playing and watching cartoons",NA,NA,NA,"Saturday"
"353","KECM00029","evening","home","playing and collecting milk","home","playing and collecting milk",NA,NA,NA,"Saturday"
"354","KECP00040","evening","home","collecting milk","home","collecting milk",NA,NA,NA,"Saturday"
"355","KECC00021","evening","home","playing and sweeping the compound","home","playing and sweeping the compound",NA,NA,NA,"Saturday"
"356","KECO00028","evening","home","playing and looking after goats","home","playing and looking after goats",NA,NA,NA,"Saturday"
"357","KECL00015","evening","home","playing, watching and collecting milk","home","herding and playing","home","relaxing and prepare supper",NA,"Saturday"
"358","ETBR00002","evening","home","Eating diner,Sleeping","home","Eating diner,Sleeping",NA,NA,NA,"Saturday"
"359","ETBK00001","evening","home","watching TV","home","watching TV","home","watching TV",NA,"Saturday"
"360","ETMF00003","evening","home","Eating,Playng and learing Quran","home","Eating,Playng, doing assignment and learing Quran","home","Eating,Playng, doing assignment and learing Quran",NA,"Saturday"
"361","ETH001","morning",NA,NA,NA,NA,NA,NA,NA,"Sunday"
"362","ETMA00001","morning",NA,NA,NA,NA,NA,NA,NA,"Sunday"
"363","ETMT00002","morning",NA,NA,NA,NA,NA,NA,NA,"Sunday"
"364","KEMB00014","morning","home","taking brealkfast.prepare for church.","home","taking brealkfast.prepare for church.",NA,NA,NA,"Sunday"
"365","KEME00012","morning",NA,NA,NA,NA,NA,NA,NA,"Sunday"
"366","KEMH00011","morning","home","breakfast","home","breakfast",NA,NA,NA,"Sunday"
"367","KEMB00051","morning","home","breakfast and going to church","home","breakfast and going to church",NA,NA,NA,"Sunday"
"368","KECM00029","morning","home","breakfast","home","breakfast",NA,NA,NA,"Sunday"
"369","KECP00040","morning","home","breakfast and prepare for church","home","breakfast and prepare for church",NA,NA,NA,"Sunday"
"370","KECC00021","morning","home","prepare breakfast","home","prepare breakfast",NA,NA,NA,"Sunday"
"371","KECO00028","morning","home","breakfast and prepare for church","home","breakfast and prepare for church",NA,NA,NA,"Sunday"
"372","KECL00015","morning","home","breakfast and prepare for church","home","breakfast and prepare for church","home","breakfast and prepare for church",NA,"Sunday"
"373","ETBR00002","morning","Church,Home","Praying,Eating breakfast","Church,Home","Praying,Eating breakfast",NA,NA,NA,"Sunday"
"374","ETBK00001","morning","Church","praying","Church","praying","Church","praying",NA,"Sunday"
"375","ETMF00003","morning","Home","Eating and playing","home","Eating and playing","home","Eating playing and washing  household utilities",NA,"Sunday"
"376","ETH001","midday",NA,NA,NA,NA,NA,NA,NA,"Sunday"
"377","ETMA00001","midday",NA,NA,NA,NA,NA,NA,NA,"Sunday"
"378","ETMT00002","midday",NA,NA,NA,NA,NA,NA,NA,"Sunday"
"379","KEMB00014","midday","church",NA,"church",NA,NA,NA,NA,"Sunday"
"380","KEME00012","midday",NA,NA,NA,NA,NA,NA,NA,"Sunday"
"381","KEMH00011","midday","church",NA,"church",NA,NA,NA,NA,"Sunday"
"382","KEMB00051","midday","church",NA,"church",NA,NA,NA,NA,"Sunday"
"383","KECM00029","midday","church",NA,"church",NA,NA,NA,NA,"Sunday"
"384","KECP00040","midday","church",NA,"church",NA,NA,NA,NA,"Sunday"
"385","KECC00021","midday","church",NA,"church",NA,NA,NA,NA,"Sunday"
"386","KECO00028","midday","church",NA,"church",NA,NA,NA,NA,"Sunday"
"387","KECL00015","midday","church",NA,"church",NA,"church",NA,NA,"Sunday"
"388","ETBR00002","midday","home","Eating lunch,studying","home","Eating lunch,studying",NA,NA,NA,"Sunday"
"389","ETBK00001","midday","home","eating","home","eating","home","eating",NA,"Sunday"
"390","ETMF00003","midday","Home compound","Playing with neighboring children","home","Playing with neighboring children","home","Swiping the house and washing clothes",NA,"Sunday"
"391","ETH001","afternoon",NA,NA,NA,NA,NA,NA,NA,"Sunday"
"392","ETMA00001","afternoon",NA,NA,NA,NA,NA,NA,NA,"Sunday"
"393","ETMT00002","afternoon",NA,NA,NA,NA,NA,NA,NA,"Sunday"
"394","KEMB00014","afternoon","home","playing","home","playing",NA,NA,NA,"Sunday"
"395","KEME00012","afternoon",NA,NA,NA,NA,NA,NA,NA,"Sunday"
"396","KEMH00011","afternoon","home","playing","home","playing",NA,NA,NA,"Sunday"
"397","KEMB00051","afternoon","church",NA,"churcbh",NA,NA,NA,NA,"Sunday"
"398","KECM00029","afternoon","church",NA,"churcbh",NA,NA,NA,NA,"Sunday"
"399","KECP00040","afternoon","home","playing","home","playing",NA,NA,NA,"Sunday"
"400","KECC00021","afternoon","home","playing","home","playing",NA,NA,NA,"Sunday"
"401","KECO00028","afternoon","church",NA,"churcbh",NA,NA,NA,NA,"Sunday"
"402","KECL00015","afternoon","church","prayers","churcbh","prayers","church","prayers",NA,"Sunday"
"403","ETBR00002","afternoon","Relatives’ home","Playing,eating","Relatives’ home","Playing,eating",NA,NA,"This is not a regular activity","Sunday"
"404","ETBK00001","afternoon","bathroom","washing","bathroom","washing","bathroom","washing",NA,"Sunday"
"405","ETMF00003","afternoon","home","Playing with sisters","home","Playing with sisters","home","Playing with sisters",NA,"Sunday"
"406","ETH001","evening",NA,NA,NA,NA,NA,NA,NA,"Sunday"
"407","ETMA00001","evening",NA,NA,NA,NA,NA,NA,NA,"Sunday"
"408","ETMT00002","evening",NA,NA,NA,NA,NA,NA,NA,"Sunday"
"409","KEMB00014","evening","home","playing","home","playing",NA,NA,NA,"Sunday"
"410","KEME00012","evening",NA,NA,NA,NA,NA,NA,NA,"Sunday"
"411","KEMH00011","evening","home","fetching firewood","home","fetching firewood",NA,NA,NA,"Sunday"
"412","KEMB00051","evening","home","playing and watching tv","home","playing and watching tv",NA,NA,NA,"Sunday"
"413","KECM00029","evening","home","watching tv and collecting milk",NA,NA,NA,NA,NA,"Sunday"
"414","KECP00040","evening","home","collecting milk","home","collecting milk",NA,NA,NA,"Sunday"
"415","KECC00021","evening","home","playing","home","playing",NA,NA,NA,"Sunday"
"416","KECO00028","evening","home","playing","home","playing",NA,NA,NA,"Sunday"
"417","KECL00015","evening","church","prayers","church","prayers","church","prayers",NA,"Sunday"
"418","ETBR00002","evening","Home ( bathrobe, bedroom)","Washing, eating dinner and sleeping",NA,"Home ( bathrobe, bedroom)","Washing, eating dinner and sleeping",NA,NA,"Sunday"
"419","ETBK00001","evening","home","watching tv","home","watching tv","home","watching tv",NA,"Sunday"
"420","ETMF00003","evening","home","Eating,Playng and learing Quran","home","Eating,Playng, doing assignment and learing Quran","home","Eating,Playng, doing assignment and learing Quran",NA,"Sunday"
